ID,Name,GamesPlayed,GamesStarted,MinutesPerGame,PointsPerGame,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPercentage,ThreePointFieldGoalsMade,ThreePointFieldGoalsAttempted,ThreePointFieldGoalPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage
55,A. Sengun,11,11,28.6,17.8,77,161,47.8,5,16,31.3,37,50,74.0
56,A. Simons,11,11,32.0,17.5,67,176,38.1,26,86,30.2,33,36,91.7
57,M. Turner,9,9,32.6,17.4,55,118,46.6,20,49,40.8,27,39,69.2
58,C. Johnson,11,11,33.7,17.2,65,137,47.4,34,88,38.6,25,29,86.2
59,B. Beal,8,8,35.5,17.0,50,107,46.7,19,53,35.8,17,22,77.3
60,I. Zubac,11,11,35.0,16.9,79,135,58.5,0,0,—,28,45,62.2
61,T. Haliburton,10,10,34.8,16.7,58,142,40.8,21,77,27.3,30,39,76.9
62,P. Pritchard,11,0,28.2,16.5,59,124,47.6,43,100,43.0,21,22,95.5
63,C. Holmgren,10,10,26.5,16.4,56,111,50.5,14,37,37.8,38,49,77.6
64,C. Braun,10,10,35.3,16.3,58,105,55.2,17,35,48.6,30,37,81.1
65,B. Coulibaly,9,9,34.8,16.3,55,96,57.3,12,32,37.5,25,31,80.6
66,J. Hawkins,8,3,30.3,16.3,42,103,40.8,19,52,36.5,27,29,93.1
67,J. Butler,8,8,30.5,16.1,43,90,47.8,2,13,15.4,41,56,73.2
68,J. Collins,9,0,24.3,15.8,54,108,50.0,9,26,34.6,25,26,96.2
69,C. Sexton,9,7,25.8,15.8,45,99,45.5,10,27,37.0,42,47,89.4
70,O. Anunoby,9,9,36.0,15.6,50,106,47.2,20,49,40.8,20,24,83.3
71,K. George,8,8,31.8,15.6,38,118,32.2,21,70,30.0,28,36,77.8
72,A. Wiggins,8,8,26.5,15.5,42,95,44.2,16,39,41.0,24,33,72.7
73,A. Gordon,7,7,30.3,15.4,37,70,52.9,12,22,54.5,22,26,84.6
74,M. Bridges,9,9,37.8,15.3,57,122,46.7,20,63,31.7,4,8,50.0
75,J. Suggs,11,11,29.3,15.3,58,133,43.6,23,71,32.4,29,32,90.6
76,K. Oubre Jr.,9,9,31.7,15.1,52,130,40.0,12,47,25.5,20,28,71.4
77,B. Adebayo,9,9,33.9,14.8,49,127,38.6,4,22,18.2,31,46,67.4
78,T. Mann,10,0,25.1,14.8,56,126,44.4,19,49,38.8,17,17,100.0
79,M. Bridges,8,8,30.5,14.6,40,102,39.2,12,45,26.7,25,30,83.3
80,J. Kuminga,10,3,24.0,14.6,53,111,47.7,11,32,34.4,29,44,65.9
81,T. Rozier,9,9,32.3,14.3,43,107,40.2,23,58,39.7,20,22,90.9
82,J. Clarkson,7,2,23.9,14.1,33,85,38.8,11,41,26.8,22,29,75.9
83,N. Reid,10,0,23.8,14.1,50,93,53.8,23,48,47.9,18,19,94.7
84,O. Agbaji,11,9,31.3,14.0,60,102,58.8,21,44,47.7,13,18,72.2
85,J. Poeltl,11,11,32.4,14.0,66,116,56.9,0,0,—,22,32,68.8
86,J. Giddey,11,11,28.9,13.9,55,125,44.0,16,37,43.2,27,41,65.9
87,J. Hart,9,9,36.7,13.8,47,82,57.3,9,31,29.0,21,25,84.0
88,K. Thompson,10,10,30.1,13.8,51,122,41.8,29,82,35.4,7,7,100.0
89,J. Allen,12,12,29.4,13.5,64,100,64.0,0,0,—,34,47,72.3
90,T. Harris,11,11,32.8,13.5,60,128,46.9,12,46,26.1,17,22,77.3
91,K. Murray,11,11,37.3,13.5,56,131,42.7,19,68,27.9,18,21,85.7
92,D. Ayton,11,11,29.3,13.3,68,131,51.9,5,13,38.5,5,8,62.5
93,F. VanVleet,10,10,35.6,13.2,47,124,37.9,20,71,28.2,18,24,75.0
94,J. Holiday,11,11,30.8,12.9,53,110,48.2,22,57,38.6,14,17,82.4
95,D. Russell,10,8,29.3,12.9,46,113,40.7,19,61,31.1,18,20,90.0
96,S. Aldama,11,9,30.1,12.8,57,120,47.5,14,53,26.4,13,13,100.0
97,D. Daniels,9,9,32.2,12.8,49,109,45.0,10,36,27.8,7,14,50.0
98,T. Hardaway Jr.,11,11,29.3,12.6,44,95,46.3,31,66,47.0,20,23,87.0
99,M. Monk,10,0,25.0,12.6,46,104,44.2,12,43,27.9,22,26,84.6
100,B. Portis,10,1,25.1,12.5,54,119,45.4,8,30,26.7,9,11,81.8
101,K. Johnson,11,0,27.3,12.5,52,115,45.2,11,43,25.6,23,28,82.1
102,J. Valanciunas,9,2,20.6,12.3,45,76,59.2,1,3,33.3,20,22,90.9
103,M. Wagner,11,1,18.2,12.3,46,89,51.7,8,28,28.6,35,45,77.8
104,M. Beasley,11,0,26.4,12.1,46,128,35.9,29,84,34.5,12,18,66.7
105,S. Pippen Jr.,11,2,25.5,12.1,49,94,52.1,14,32,43.8,21,27,77.8
106,B. Boston Jr.,8,4,26.9,12.0,36,78,46.2,10,27,37.0,14,16,87.5
107,R. Hachimura,9,9,33.8,12.0,39,100,39.0,15,32,46.9,15,18,83.3
108,C. LeVert,10,0,23.4,12.0,45,80,56.3,17,36,47.2,13,19,68.4
109,Z. Risacher,11,9,27.0,12.0,47,124,37.9,15,57,26.3,23,35,65.7
110,D. Gafford,10,10,20.9,11.9,51,72,70.8,0,0,—,17,23,73.9
111,S. Henderson,11,0,25.8,11.8,47,117,40.2,9,33,27.3,27,33,81.8
112,D. Brooks,11,11,32.0,11.7,47,120,39.2,19,55,34.5,16,17,94.1
113,T. Eason,11,0,22.6,11.6,53,97,54.6,12,31,38.7,10,16,62.5
114,C. Boucher,11,0,18.8,11.5,47,92,51.1,14,43,32.6,19,27,70.4
115,L. Dort,11,11,27.3,11.5,44,93,47.3,26,57,45.6,13,14,92.9
116,J. Wells,11,6,25.8,11.4,45,106,42.5,20,51,39.2,15,21,71.4
117,Z. Edey,11,9,19.8,11.2,53,82,64.6,4,7,57.1,13,23,56.5
118,D. Jones Jr.,11,11,27.2,11.2,48,96,50.0,19,42,45.2,8,11,72.7
119,M. McBride,9,0,26.8,11.2,37,84,44.0,19,48,39.6,8,10,80.0
120,G. Mathews,10,0,22.9,11.1,33,69,47.8,28,57,49.1,17,20,85.0
121,R. Westbrook,10,3,24.6,11.1,34,96,35.4,10,33,30.3,33,47,70.2
122,T. Jones,10,10,32.4,11.0,43,90,47.8,20,47,42.6,4,4,100.0
123,J. Smith,11,11,28.8,11.0,42,107,39.3,13,52,25.0,24,28,85.7
124,R. Gobert,10,10,31.6,10.9,43,66,65.2,0,0,—,23,29,79.3
125,O. Okongwu,9,0,22.7,10.9,37,67,55.2,3,15,20.0,21,25,84.0
126,D. DiVincenzo,10,0,27.5,10.8,36,98,36.7,25,76,32.9,11,14,78.6
127,J. Alvarado,11,7,25.6,10.7,40,101,39.6,24,60,40.0,14,17,82.4
128,A. Dosunmu,11,3,28.5,10.7,44,107,41.1,11,50,22.0,19,21,90.5
129,J. Champagnie,11,11,27.7,10.6,44,98,44.9,25,68,36.8,4,5,80.0
130,C. Capela,11,11,22.7,10.5,50,77,64.9,0,0,—,16,22,72.7
131,C. Paul,11,11,28.5,10.5,41,88,46.6,22,59,37.3,11,11,100.0
132,J. Huff,11,0,15.6,10.4,39,67,58.2,21,44,47.7,15,15,100.0
133,C. Martin,9,8,33.9,10.3,28,76,36.8,8,26,30.8,29,44,65.9
134,A. Thompson,11,1,24.5,10.3,41,80,51.3,2,13,15.4,29,39,74.4
135,G. Yabusele,9,0,21.3,10.3,34,64,53.1,16,37,43.2,9,14,64.3
136,K. Huerter,9,9,25.8,10.2,36,78,46.2,18,53,34.0,2,2,100.0
137,T. Jerome,12,0,16.5,10.2,45,74,60.8,13,24,54.2,19,23,82.6
138,J. McCain,9,0,15.6,10.2,34,74,45.9,10,29,34.5,14,14,100.0
139,R. O'Neale,10,0,25.9,10.2,36,76,47.4,22,45,48.9,8,9,88.9
140,A. Wiggins,11,4,21.5,10.2,45,91,49.5,17,36,47.2,5,5,100.0
141,M. Branham,9,0,16.3,10.0,31,59,52.5,13,25,52.0,15,18,83.3
142,D. Finney-Smith,10,10,28.9,10.0,37,84,44.0,19,55,34.5,7,12,58.3
143,I. Joe,11,4,21.9,9.9,38,89,42.7,28,71,39.4,5,7,71.4
144,C. Kispert,9,0,29.8,9.9,32,87,36.8,13,52,25.0,12,15,80.0
145,C. Martin,10,3,25.0,9.9,37,77,48.1,15,40,37.5,10,12,83.3
146,J. Nurkic,10,10,24.4,9.9,32,72,44.4,9,29,31.0,26,37,70.3
147,H. Barnes,11,11,28.6,9.7,39,77,50.6,12,35,34.3,17,20,85.0
148,A. Drummond,9,9,26.1,9.7,34,68,50.0,1,4,25.0,18,34,52.9
